DOY,ISAMDYN,ISAMBC,Measured
1,1.7,1.68,
2,3.42,3.4,
3,2.34,2.32,
4,4.39,4.36,
5,3.71,3.73,
6,0.58,0.59,
7,0.42,0.42,
8,0.57,0.57,
9,0.25,0.25,
10,0.48,0.5,
11,0.74,0.74,
12,2.35,2.36,
13,2.95,3.02,
14,5.55,5.65,
15,6.38,6.5,
16,2.19,2.22,
17,1.56,1.56,
18,1.75,1.76,
19,1.07,1.08,
20,0.86,0.87,
21,0.69,0.7,
22,1.18,1.19,
23,8.53,8.54,
24,-0.94,-0.95,
25,4.61,4.62,
26,2.58,2.58,
27,1.36,1.36,
28,2.67,2.67,
29,3.74,3.74,
30,1.68,1.68,
31,1.42,1.42,
32,3.55,3.56,
33,3.82,3.84,
34,3.9,3.91,
35,2.42,2.42,
36,3.01,3.07,
37,1.27,1.3,
38,1.21,1.23,
39,3.16,3.24,
40,1.42,1.44,
41,0.86,0.87,
42,2.45,2.49,
43,2.23,2.27,
44,0.79,0.83,
45,3.19,3.24,
46,3.34,3.39,
47,2.95,2.99,
48,1.2,1.24,
49,4.43,4.49,
50,2.87,2.99,
51,6.65,6.79,
52,7.46,7.57,
53,3.28,3.34,
54,4.68,4.73,
55,6.21,6.27,
56,4.89,4.95,
57,5.81,5.86,
58,4.23,4.28,
59,3.58,3.64,
60,2.12,2.18,
61,1.63,1.69,
62,2.1,2.17,
63,4.83,4.88,
64,2.09,2.2,
65,2.22,2.33,
66,3.09,3.17,
67,1.76,1.82,
68,0.58,0.67,
69,0.86,0.92,
70,0.89,0.96,
71,3.1,3.21,
72,3.72,3.8,
73,4.16,4.19,
74,3.84,3.94,
75,1.58,1.88,
76,3.98,4.44,
77,3.03,3.4,
78,2.77,3.25,
79,5.89,6.34,
80,6.92,7.08,
81,8.26,8,
82,9.65,9.45,
83,9.76,9.65,
84,7.48,7.47,
85,5.59,5.71,
86,3.7,3.82,
87,2.69,2.84,
88,2.45,2.63,
89,2.7,2.88,
90,3.86,4.02,
91,4.79,4.99,
92,5.09,5.32,7.24
93,3.21,3.52,4.18
94,2.39,2.67,4.94
95,6.31,6.58,5.68
96,5.02,5.35,4.03
97,4.4,4.8,4.7
98,3.77,4.23,5.3
99,3.55,3.94,7.15
100,4.63,4.82,4.18
101,4.6,4.72,4.94
102,3.55,3.7,5.68
103,2.04,2.28,4.03
104,2.14,2.36,4.7
105,4.42,4.63,5.3
106,6.41,6.67,7.15
107,6.63,7.02,4.18
108,7.1,7.54,4.94
109,5.33,5.77,5.68
110,3.71,4.24,4.03
111,4.67,5.24,4.7
112,3.38,3.93,5.3
113,6.08,6.52,7.15
114,6.12,6.51,4.18
115,5.54,5.93,4.94
116,4.74,5.17,5.68
117,3.64,4.11,4.03
118,4.5,4.73,4.7
119,6.22,6.47,5.3
120,8.74,9.18,7.15
121,5.18,5.77,4.18
122,6.37,6.86,4.94
123,10.08,10.58,5.68
124,7.02,7.4,4.03
125,6.74,7.14,4.7
126,7.1,7.62,5.3
127,8.08,8.57,7.15
128,6.85,7.34,4.18
129,4.68,5.28,4.94
130,7.04,7.61,5.68
131,10.66,8.08,4.03
132,4.83,7.67,4.7
133,5.93,9.34,5.3
134,5.06,9.39,7.15
135,7.29,9.44,4.18
136,8.4,10.68,4.94
137,7.77,9.11,5.68
138,11.47,11.38,4.03
139,11.46,9.97,4.7
140,9.1,8.62,5.3
141,7.7,8.06,7.15
142,8.51,8.98,4.18
143,9.4,10.95,4.94
144,8.93,10.67,5.68
145,10.02,11.66,4.03
146,10.09,11.74,4.7
147,8.99,11.26,5.3
148,7.46,12.65,7.15
149,10.09,14.82,4.18
150,11.65,19.34,4.18
151,11,18.24,4.18
152,12.16,23.57,4.39
153,12.9,25.65,9.63
154,11.85,24.76,10.41
155,15.85,22.75,16.7
156,16.29,32.06,7.39
157,14.82,33.71,20.28
158,17.87,35.34,23.14
159,15.15,26.28,21.1
160,15.57,30.42,14.17
161,14.74,28.04,8.96
162,16.57,33.62,6.39
163,18.16,37.79,5.67
164,15.22,35.02,5.55
165,10.55,23.14,13.86
166,12.9,39.56,30.02
167,18.12,42.49,25.27
168,14.8,32.98,21.28
169,8.1,17.24,25.06
170,9.08,22.39,
171,18.27,37.37,
172,17.53,31.71,
173,14.34,24.41,
174,17.85,37.79,
175,17.55,34.86,
176,23.11,49.36,
177,21.28,50.32,
178,27.91,71.32,
179,18.9,40.69,
180,19.52,43.85,
181,11.84,25.9,
182,19.7,44.31,42.98
183,23.04,70.22,50.91
184,31.88,91.09,45.23
185,29.74,90.18,42.86
186,51.98,88.25,39.82
187,49.84,80.83,54.85
188,24.28,35.03,40.11
189,22.11,30.18,32.78
190,20.28,36.13,42.94
191,20.62,34.33,5.26
192,48.89,68.42,44.89
193,46.89,62.23,53.09
194,35.42,50.14,59.37
195,45.61,63.05,39.61
196,55.67,72.54,24.1
197,56.73,74.91,47.08
198,35.76,44.61,58.75
199,24.6,24.43,53.92
200,42.59,45.16,54.28
201,34.42,34.08,47.04
202,49.65,54.17,22.13
203,24.32,25.04,38.31
204,22.47,13.93,30.98
205,29.81,19.35,39.55
206,21.88,14.76,35.38
207,23.57,16,43.22
208,29.87,20.37,49.27
209,34.72,23.31,31.49
210,31.28,21.47,23.63
211,16.29,18.71,34.17
212,12,14.03,31.61
213,9.09,10.74,44.06
214,19.7,24.2,33.66
215,30.5,35.76,33.54
216,48.5,57.35,32.22
217,39.92,45.82,35.76
218,40.64,38.4,31.85
219,46.07,43.44,27.69
220,30.57,28.78,10.99
221,10.84,10.22,8.78
222,5.1,4.38,3.1
223,15.76,14.8,17.74
224,5.11,4.2,16.03
225,17.67,31.64,33.72
226,9.91,15.08,24.71
227,12.72,23.14,27.26
228,13.21,21.5,16.88
229,9.04,15.23,12.27
230,4.14,6.47,
231,10.4,13.96,
232,10.93,10.51,
233,6.23,6.05,
234,10.81,10.35,
235,6.45,6.16,
236,6.29,6.1,
237,0.97,0.47,
238,26.05,24.19,
239,33.23,32.97,
240,22.99,22.8,
241,21.16,21,
242,14.68,14.49,
243,13.3,13.27,
244,4.4,4.39,
245,1.94,1.89,
246,9.59,8.99,
247,8.56,8.2,
248,10.01,9.63,
249,17.93,17.32,
250,10.64,10.13,
251,9.06,8.62,
252,0.89,0.61,
253,7.32,6.94,
254,7.45,6.93,
255,14.31,13.67,
256,9.98,9.62,
257,11.51,11.24,
258,8.94,8.97,
259,5.5,5.37,
260,3.82,3.88,
261,3.59,3.84,
262,4.16,4.59,
263,-0.18,0.15,
264,9.43,10.3,
265,2.57,2.84,
266,6.55,7.01,
267,19.39,20.42,
268,9.06,10.07,
269,8.41,10.04,
270,13.58,15.2,
271,10.57,12.51,
272,6.19,8.75,
273,5.15,8.75,
274,8.5,13.26,
275,11.45,16.91,
276,9.56,14.21,
277,10.48,15.53,
278,10.97,15.75,
279,14.68,20.16,
280,9.77,13.79,
281,7.08,9.99,
282,6.45,9.14,
283,7.34,11.14,
284,7.25,10.59,
285,7.71,11.46,
286,5.7,9.16,
287,4.03,6.75,
288,3.26,5.54,
289,2.69,4.38,
290,2.9,4.46,
291,4.84,7.58,
292,4.29,8.66,
293,3.23,4.06,
294,4.12,4.43,
295,3.93,3.7,
296,3.58,3.6,
297,5.04,7.07,
298,2.88,2.29,
299,2.89,2.35,
300,4.39,5.07,
301,2.62,2.03,
302,2.32,1.91,
303,6.49,5.3,
304,6.11,4.95,
305,3.71,4.86,
306,3.36,2.73,
307,2.49,2.12,
308,2.07,1.81,
309,1.8,1.49,
310,2.88,3.3,
311,3.55,2.68,
312,6.5,5.15,
313,3,2.43,
314,0.59,0.75,
315,0.18,0.23,
316,2.32,1.64,
317,2.74,2.09,
318,1.52,1.62,
319,2.33,1.93,
320,3.45,2.87,
321,8.97,7.84,
322,3.66,2.99,23.65976415
323,3.03,2.68,
324,1.56,1.32,
325,3.37,3.07,
326,2.83,2.46,
327,2.78,2.98,
328,4.53,4.65,
329,2.8,2.81,
330,3.86,4.04,
331,3.25,3.4,
332,4.06,4.31,
333,8.92,8.94,
334,12.12,10.88,
335,13.06,12.3,
336,11.69,11,
337,11.65,11.13,
338,14.22,13.42,
339,15.08,14.24,
340,7.66,7.69,
341,3.29,4.54,
342,1.52,2.35,
343,2.2,3.81,
344,1.21,2.05,
345,0.96,1.2,
346,1.16,2.13,
347,3.11,5.1,
348,1.17,1.66,
349,0.86,0.95,
350,1.94,3.33,
351,1.05,1.49,
352,1.03,1.4,
353,1.18,1.36,
354,4.67,6.23,
355,4.67,7.44,
356,2.11,3.08,
357,3.84,6.59,
358,3.27,4.9,
359,2.6,4.05,
360,1.15,1.62,
361,0.42,0.54,
362,0.72,0.96,
363,2.34,2.98,
364,4.07,6.11,
365,3.6,5.15,
